,abs_corr,signed_corr,description
EXT_SOURCE_3,0.1789,-0.1789,Normalized score from external data source
EXT_SOURCE_2,0.1605,-0.1605,Normalized score from external data source
EXT_SOURCE_1,0.1553,-0.1553,Normalized score from external data source
DAYS_BIRTH,0.0782,0.0782,Client's age in days at the time of application
REGION_RATING_CLIENT_W_CITY,0.0609,0.0609,Our rating of the region where client lives with taking city into acco
REGION_RATING_CLIENT,0.0589,0.0589,"Our rating of the region where client lives (1,2,3)"
DAYS_LAST_PHONE_CHANGE,0.0552,0.0552,How many days before application did client change phone
DAYS_ID_PUBLISH,0.0515,0.0515,How many days before the application did client change the identity do
REG_CITY_NOT_WORK_CITY,0.051,0.051,Flag if client's permanent address does not match work address (1=diff
FLAG_EMP_PHONE,0.046,0.046,"Did client provide work phone (1=YES, 0=NO)"
DAYS_EMPLOYED,0.0449,-0.0449,How many days before the application the person started current employ
REG_CITY_NOT_LIVE_CITY,0.0444,0.0444,Flag if client's permanent address does not match contact address (1=d
FLAG_DOCUMENT_3,0.0443,0.0443,Did client provide document 3
FLOORSMAX_AVG,0.044,-0.044,"Normalized information about building where the client lives, What is "
FLOORSMAX_MEDI,0.0438,-0.0438,"Normalized information about building where the client lives, What is "
FLOORSMAX_MODE,0.0432,-0.0432,"Normalized information about building where the client lives, What is "
DAYS_REGISTRATION,0.042,0.042,How many days before the application did client change his registratio
AMT_GOODS_PRICE,0.0396,-0.0396,For consumer loans it is the price of the goods for which the loan is 
OWN_CAR_AGE,0.0376,0.0376,Age of client's car
REGION_POPULATION_RELATIVE,0.0372,-0.0372,Normalized population of region where client lives (higher number mean
